"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Citroën Jumpy BlueHDi 145 S&S 6v Furgón Talla M Doble Cabina Abatible Control","","Gasóleo","N1","3030","","","",""
"Citroën Jumpy BlueHDi 145 S&S 6v Furgón Talla XL Club","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy BlueHDi 145 S&S 6v Furgón Talla XL Control","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy BlueHDi 145 S&S 6v Furgón Talla XL Doble Cabina Abatible Control","","Gasóleo","N1","3030","","","",""
"Citroën Jumpy BlueHDi 145 S&S EAT8 Furgón Talla M Club","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy BlueHDi 150 S&S 6v Furgón Talla XL Club","","Gasóleo","N1","3100","","","",""
"Citroën Jumpy Combi BlueHDI 120 S&S 6v Talla M","","Gasóleo","M1","2700","","","",""
"Citroën Jumpy Combi BlueHDI 120 S&S 6v Talla XL","","Gasóleo","M1","2740","","","",""
"Citroën Jumpy Combi BlueHDI 120 S&S 6v Talla XS","","Gasóleo","M1","2660","","","",""
"Citroën Jumpy Combi BlueHDI 140 S&S 6v Talla M","","Gasóleo","M1","2760","","","",""
"Citroën Jumpy Combi BlueHDI 140 S&S 6v Talla XL","","Gasóleo","M1","2790","","","",""
"Citroën Jumpy Combi BlueHDi 150  S&S 6v Talla XL","","Gasóleo","M1","2785","","","",""
"Citroën Jumpy Combi BlueHDi 150 S&S 6v Talla M","","Gasóleo","M1","2750","","","",""
"Citroën Nuevo C3 BlueHDi 100 S&S 6v","","Gasóleo","M1","1675","","","",""
"Citroën Nuevo C3 ë-C3 Eléctrico Max","","Eléctricos puros","M1","1910","16.4","83.0","300.0","44.0"
"Citroën Nuevo C3 ë-C3 Eléctrico You","","Eléctricos puros","M1","1910","16.4","83.0","300.0","44.0"
"Citroën Nuevo C3 Puretech 100 Max","","Gasolina","M1","1620","","","",""
"Citroën Nuevo C3 Puretech 100 You","","Gasolina","M1","1620","","","",""
"Citroën Nuevo C3 PureTech 110 S&S 6v","","Gasolina","M1","1605","","","",""
"Citroën Nuevo C3 PureTech 110 S&S EAT6","","Gasolina","M1","1645","","","",""
"Citroën Nuevo C3 PureTech 83 S&S","","Gasolina","M1","1475","","","",""
"Citroën Nuevo C4 BlueHDi 110 S&S 6v","","Gasóleo","M1","1760","","","",""
"Citroën Nuevo C4 BlueHDi 130 S&S EAT8","","Gasóleo","M1","1795","","","",""
"Citroën Nuevo C4 PureTech 100 S&S 6v","","Gasolina","M1","1690","","","",""
"Citroën Nuevo C4 PureTech 130 S&S 6v","","Gasolina","M2","1690","","","",""
"Citroën Nuevo C4 PureTech 130 S&S EAT8","","Gasolina","M1","1755","","","",""
"Citroën Nuevo C4 PureTech 155 EAT8 SHINE","","Gasolina","M1","1760","","","",""
"Citroën Nuevo C4X Hybrid 136 ë-DSC6 MAX","","Híbridos de gasolina","M1","1800","","15.0","","0.9"
"Citroën Nuevo C4X Hybrid 136 ë-DSC6 PLUS","","Híbridos de gasolina","M1","1800","","15.0","","0.9"
"Citroën Nuevo ë-C4 Eléctrico 100 KW","","Eléctricos puros","M1","2000","16.6","100.0","338.0","50.0"
"Citroën Nuevo ë-C4X ELÉCTRICO 100 KW Feel","","Eléctricos puros","M1","2040","15.1","100.0","358.0","50.0"
