"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Mercedes-Benz Clase V Clase V 300d Extralargo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 300d Largo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 300d Largo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz CLE Cabrio (A236) 200","","Híbridos de gasolina","M1","2360","","17.0","",""
"Mercedes-Benz CLE Cabrio (A236) 220 d","","Híbridos de gasóleo","M1","2435","","17.0","",""
"Mercedes-Benz CLE Cabrio (A236) 300 4MATIC","","Híbridos de gasolina","M1","2420","","17.0","",""
"Mercedes-Benz CLE Coupé (C236) 200","","Híbridos de gasolina","M1","2265","","17.0","",""
"Mercedes-Benz CLE Coupé (C236) 220 d","","Híbridos de gasóleo","M1","2345","","17.0","",""
"Mercedes-Benz CLE Coupé (C236) 300 4MATIC","","Híbridos de gasolina","M1","2330","","17.0","",""
"Mercedes-Benz CLE Coupé (C236) 53 4MATIC+","","Híbridos de gasolina","M1","2420","","17.0","",""
"Mercedes-Benz eCitan eCitan Furgón PRO","","Eléctricos puros","N1","2230","19.0","90.0","283.0","45.0"
"Mercedes-Benz eCitan eCitan Furgón PRO Largo","","Eléctricos puros","N1","2490","18.9","90.0","283.0","45.0"
"Mercedes-Benz eCitan eCitan Tourer PRO","","Eléctricos puros","M1","2390","19.2","90.0","280.0","45.0"
"Mercedes-Benz EQA (H243) 250","","Eléctricos puros","M1","2470","16.9","140.0","457.0","66.5"
"Mercedes-Benz EQA (H243) 250+","","Eléctricos puros","M1","3115","16.4","140.0","647.0","70.5"
"Mercedes-Benz EQA (H243) 300 4MATIC","","Eléctricos puros","M1","3115","18.6","168.0","499.0","66.5"
"Mercedes-Benz EQA (H243) 350 4MATIC","","Eléctricos puros","M1","3195","18.6","215.0","499.0","66.5"
"Mercedes-Benz EQB (X243) 250+","","Eléctricos puros","M1","2540","17.5","140.0","599.0","70.5"
"Mercedes-Benz EQB (X243) 300 4MATIC","","Eléctricos puros","M1","2600","19.2","168.0","473.0","66.5"
"Mercedes-Benz EQB (X243) 350 4MATIC","","Eléctricos puros","M1","2600","19.2","215.0","473.0","66.5"
"Mercedes-Benz EQE Berlina (V295) 300","","Eléctricos puros","M1","2895","19.5","180.0","597.0","89.0"
"Mercedes-Benz EQE Berlina (V295) 350","","Eléctricos puros","M1","2895","19.5","215.0","597.0","89.0"
"Mercedes-Benz EQE Berlina (V295) 43 4MATIC","","Eléctricos puros","M1","3095","23.7","350.0","482.0","90.6"
"Mercedes-Benz EQE Berlina (V295) 53 4MATIC+","","Eléctricos puros","M1","3095","22.9","460.0","475.0","90.6"
"Mercedes-Benz EQE SUV (X294) 300","","Eléctricos puros","M1","2995","21.1","180.0","593.0","90.6"
"Mercedes-Benz EQE SUV (X294) 350 4MATIC","","Eléctricos puros","M1","3115","21.8","215.0","556.0","90.6"
"Mercedes-Benz EQE SUV (X294) 350+","","Eléctricos puros","M1","2995","20.8","215.0","636.0","96.0"
"Mercedes-Benz EQE SUV (X294) 43 4MATIC","","Eléctricos puros","M1","3195","25.4","350.0","471.0","90.6"
"Mercedes-Benz EQE SUV (X294) 500 4MATIC","","Eléctricos puros","M1","3115","21.9","300.0","594.0","96.0"
"Mercedes-Benz EQE SUV (X294) 53 4MATIC+","","Eléctricos puros","M1","3195","25.4","460.0","445.0","90.6"
"Mercedes-Benz EQS Berlina (V297) 450+","","Eléctricos puros","M1","2945","19.7","265.0","668.0","108.4"
"Mercedes-Benz EQS Berlina (V297) 500 4MATIC","","Eléctricos puros","M1","3060","20.9","330.0","617.0","108.4"
"Mercedes-Benz EQS Berlina (V297) 53 4MATIC+","","Eléctricos puros","M1","3225","24.2","484.0","500.0","108.4"
"Mercedes-Benz EQS SUV (X296) 450 4MATIC","","Eléctricos puros","M1","3410","22.8","265.0","689.0","118.0"
