"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Hyundai KONA FL TGDI 1.0 120CV 4X2 KLASS","","Gasolina","M1","1770","","","",""
"Hyundai KONA FL TGDI 1.0 120CV 4X2 MAXX","","Gasolina","M1","1770","","","",""
"Hyundai KONA FL TGDI 1.0 120CV 4X2 TECNO","","Gasolina","M1","1770","","","",""
"Hyundai KONA FL TGDI 1.0 120CV NLINE 30A","","Gasolina","M1","1770","","","",""
"Hyundai KONA FL TGDI 1.6 198CV 4X4 DT N LINE X","","Gasolina","M1","1915","","","",""
"Hyundai KONA FL TGDI 1.6 198CV 4X4 DT STYLE","","Gasolina","M1","1915","","","",""
"Hyundai KONA FL TGDI 1.6 198CV 4X4 DT TECNO","","Gasolina","M1","1915","","","",""
"Hyundai KONA HEV FL  GDI 1.6 141CV DT MAXX","","Híbridos de gasolina","M1","1880","","32.0","","1.5"
"Hyundai KONA HEV FL GDI 1.6 141CV DT STYLE SKY","","Híbridos de gasolina","M1","1880","","32.0","","1.5"
"Hyundai KONA HEV FL GDI 1.6 141CV DT TECNO 2C","","Híbridos de gasolina","M1","1880","","32.0","","1.5"
"Hyundai KONA HEV GDI 1.6 141CV DT FLEXX","","Híbridos de gasolina","M1","1950","","32.0","","1.5"
"Hyundai KONA HEV GDI 1.6 141CV DT MAXX","","Híbridos de gasolina","M1","1950","","32.0","","1.5"
"Hyundai KONA HEV GDI 1.6 141CV DT NLINE","","Híbridos de gasolina","M1","1950","","32.0","","1.5"
"Hyundai KONA HEV GDI 1.6 141CV DT NLINE STYLE","","Híbridos de gasolina","M1","1950","","32.0","","1.5"
"Hyundai KONA HEV GDI 1.6 141CV DT TECNO","","Híbridos de gasolina","M1","1950","","32.0","","1.5"
"Hyundai KONA TGDI 1.0 120CV 48V FLEXX","","Híbridos de gasolina","M1","1875","","12.0","",""
"Hyundai KONA TGDI 1.0 120CV 48V MAXX","","Híbridos de gasolina","M1","1875","","12.0","",""
"Hyundai KONA TGDI 1.0 120CV 48V NLINE","","Híbridos de gasolina","M1","1875","","12.0","",""
"Hyundai KONA TGDI 1.0 120CV 48V TECNO","","Híbridos de gasolina","M1","1875","","12.0","",""
"Hyundai KONA TGDI 1.0 120CV DT FLEXX","","Gasolina","M1","1855","","","",""
"Hyundai KONA TGDI 1.0 120CV DT MAXX","","Gasolina","M1","1855","","","",""
"Hyundai KONA TGDI 1.0 120CV FLEXX","","Gasolina","M1","1860","","","",""
"Hyundai KONA TGDI 1.0 120CV MAXX","","Gasolina","M1","1860","","","",""
"Hyundai KONA TGDI 1.0 120CV NLINE","","Gasolina","M1","1860","","","",""
"Hyundai KONA TGDI 1.0 120CV TECNO","","Gasolina","M1","1860","","","",""
"Hyundai KONA TGDI 1.6 198CV 4X4 DT NLINE","","Gasolina","M1","2000","","","",""
"Hyundai KONA TGDI 1.6 198CV 4X4 DT NLINE STYLE","","Gasolina","M1","2000","","","",""
"Hyundai KONA TGDI 1.6 198CV DT NLINE","","Gasolina","M1","1915","","","",""
"Hyundai KONA TGDI 2.0 280CV DCT N PRESS","","Gasolina","M1","2010","","","",""
"Hyundai KONA TGDI 2.0 280CV DCT N SKY","","Gasolina","M1","2010","","","",""
"Hyundai New i20 5P 1.6T 204CV N","","Gasolina","M1","1650","","","",""
"Hyundai New i20 5P MPI 1.2 85CV ESSENCE","","Gasolina","M1","1550","","","",""
"Hyundai New i20 5P MPI 1.2 85CV KLASS","","Gasolina","M1","1550","","","",""
"Hyundai New i20 5P MPI 1.2 85CV SLE","","Gasolina","M1","1560","","","",""
"Hyundai New i20 5P MPI 1.2 85CV SLX","","Gasolina","M1","1560","","","",""
"Hyundai New i20 5P TGDI 1.0 100CV 48V DT KLASS","","Híbridos de gasolina","M1","1650","","12.2","",""
"Hyundai New i20 5P TGDI 1.0 100CV 48V DT TECNO2C","","Híbridos de gasolina","M1","1650","","12.2","",""
"Hyundai New i20 5P TGDI 1.0 100CV 48V ESSENCE","","Híbridos de gasolina","M1","1620","","12.2","",""
"Hyundai New i20 5P TGDI 1.0 100CV 48V KLASS","","Híbridos de gasolina","M1","1620","","12.2","",""
"Hyundai New i20 5P TGDI 1.0 100CV 48V N LINE","","Híbridos de gasolina","M1","1640","","12.2","",""
